"filename", "language", "PHP", "CSS", "JavaScript", "JSON", "Markdown", "XML", "SQL", "Ini", "Properties", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\package.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\admin\source\repos\Silerium_laravel\php_info.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\admin\source\repos\Silerium_laravel\phpunit.xml", "XML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"c:\Users\admin\source\repos\Silerium_laravel\postcss.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\admin\source\repos\Silerium_laravel\public\css\site.css", "CSS", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 19, 99
"c:\Users\admin\source\repos\Silerium_laravel\public\index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\Users\admin\source\repos\Silerium_laravel\resources\css\app.css", "CSS", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\admin\source\repos\Silerium_laravel\resources\js\app.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\admin\source\repos\Silerium_laravel\resources\js\bootstrap.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 23, 8, 36
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\index.blade.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\delete.blade.php", "PHP", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 82
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\index.blade.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\reviews.blade.php", "PHP", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
